Word, Occurrencies
the, 6577
of, 3350
i, 2634
and, 2634
a, 1754
my, 1259
with, 1075
for, 1050
in, 1047
all, 1034
to, 793
so, 711
feel, 660
one, 638
gold, 593
when, 567
me, 567
that, 548
cities, 546
world, 527
thunder, 520
around, 513
like, 509
hes, 473
are, 445
phooey, 426
kong, 426
hong, 426
by, 414
among, 414
was, 414
existence, 414
am, 414
which, 414
day, 392
than, 377
ulysses, 364
just, 356
his, 339
be, 313
who, 301
has, 298
sun, 298
top, 290
never, 289
friend, 287
but, 285
down, 283
this, 278
dodododo, 273
ahahahahah, 273
your, 273
thundercats, 273
will, 268
close, 265
earth, 259
you, 257
hear, 246
unknown, 246
round, 235
every, 234
cat, 232
find, 229
we, 229
into, 226
time, 224
high, 215
breath, 207
image, 207
own, 207
us, 207
formed, 207
almighty, 207
presence, 207
then, 207
flies, 207
insects, 207
forms, 207
indescribable, 207
countless, 207
familiar, 207
grow, 207
stalks, 207
little, 207
buzz, 207
noticed, 207
plants, 207
thousand, 207
lie, 207
as, 207
stream, 207
trickling, 207
grass, 207
tall, 207
myself, 207
throw, 207
sanctuary, 207
inner, 207
steal, 207
gleams, 207
stray, 207
few, 207
trees, 207
foliage, 207
impenetrable, 207
surface, 207
upper, 207
strikes, 207
meridian, 207
vapour, 207
teems, 207
valley, 207
lovely, 207
while, 207
now, 207
artist, 207
greater, 207
yet, 207
moment, 207
present, 207
at, 207
stroke, 207
single, 207
drawing, 207
incapable, 207
should, 207
talents, 207
neglect, 207
tranquil, 207
mere, 207
sense, 207
exquisite, 207
absorbed, 207
dear, 207
happy, 207
mine, 207
souls, 207
bliss, 207
created, 207
spot, 207
charm, 207
alone, 207
heart, 207
whole, 207
enjoy, 207
spring, 207
mornings, 207
sweet, 207
these, 207
soul, 207
entire, 207
possession, 207
taken, 207
serenity, 207
wonderful, 207
hey, 184
some, 182
on, 181
its, 175
always, 154
friends, 149
search, 143
night, 143
through, 143
style, 142
eye, 142
human, 142
quicker, 142
guy, 142
super, 142
number, 142
well, 141
can, 134
see, 134
call, 129
sing, 129
where, 127
way, 125
really, 118
wont, 118
most, 116
or, 110
got, 110
flight, 110
new, 108
do, 104
evil, 104
fighting, 104
is, 103
ladies, 95
stop, 95
days, 94
80, 94
from, 91
might, 91
im, 91
ahahah, 91
wishing, 91
tow, 91
condor, 91
adventures, 91
ways, 91
searching, 91
begun, 91
say, 90
fly, 90
children, 90
whos, 86
name, 86
bears, 86
barnaby, 86
best, 84
it, 82
how, 82
think, 82
if, 82
taught, 82
pretty, 78
everybody, 78
helping, 78
ready, 78
muskehounds, 78
hay, 78
up, 78
loose, 78
ill, 72
fanriffic, 71
hiya, 71
chop, 71
rough, 71
tough, 71
gets, 71
going, 71
car, 71
groovy, 71
pay, 67
want, 67
thats, 63
cause, 58
tip, 58
championship, 58
pip, 58
boss, 58
gang, 58
leader, 58
indisputable, 58
dignity, 58
providing, 58
tc, 58
him, 58
get, 58
intellectual, 58
effectual, 58
better, 56
bear, 56
mckay, 56
bj, 56
goin, 56
justice, 52
peace, 52
bringing, 52
forces, 52
blue, 52
bolt, 52
things, 52
else, 52
noone, 52
power, 52
tyranny, 52
flying, 52
galaxies, 52
soaring, 52
keep, 52
keeps, 52
tomorrow, 48
make, 48
not, 47
back, 47
ship, 47
before, 47
word, 47
no, 47
wind, 47
wings, 47
white, 47
against, 47
fight, 47
ending, 47
rainbows, 47
sitting, 47
pot, 47
stars, 43
snowflakes, 43
sea, 43
sand, 43
rivers, 43
flowers, 43
liquorice, 43
drinks, 43
fizzy, 43
chips, 43
fish, 43
pudding, 43
treacle, 43
easy, 43
tune, 43
add, 43
youd, 43
what, 43
sky, 43
had, 43
first, 43
king, 43
their, 43
took, 43
they, 43
birds, 43
fame, 43
james, 43
jack, 43
free, 42
could, 39
chum, 39
problem, 39
youve, 39
corny, 39
sound, 39
fun, 39
everything, 39
sharing, 39
story, 39
fine, 39
look, 39
eastwood, 39
makes, 39
stuntman, 39
vine, 39
tarzan, 39
drawbridge, 39
open, 39
an, 39
jump, 39
only, 39
end, 39
welch, 39
raquel, 39
blown, 39
tiegs, 39
cheryl, 39
over, 39
burned, 39
gotten, 39
ive, 39
out, 39
body, 39
hire, 39
true, 39
plenty, 39
school, 39
much, 39
spend, 39
roar, 39
magic, 39
move, 39
knight, 38
bethundercats, 38
too, 28
places, 28
knows, 28
orleans, 28
off, 28
palace, 28
providin, 28
dallas, 28
rollin, 28
tax, 28
property, 28
dont, 28
scenes, 28
dreams, 28
last, 28
improvin, 28
movin, 28
he, 28
everywhere, 28
home, 28
place, 28
have, 28
says, 28
knowin, 28
exactly, 28
ya, 28
there, 28
moving, 24
until, 24
settle, 24
maybe, 24
again, 24
gone, 24
turn, 24
long, 24
stay, 24
cant, 24
road, 24
calling, 24
voice, 24
theres, 22
law, 19
above, 19
operate, 19
criminals, 19
helpless, 19
innocent, 19
champion, 19
crusade, 19
loner, 19
young, 19
michael, 19
exist, 19
does, 19
man, 19
dangerous, 19
shadowy, 19
rider, 19
valleytheres, 2
valleychildren, 1
v, 1
alla, 1
freethundercats, 1
